,show_title,id,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,Show_title
73,thai cave rescue,tt8726102,series,"TV series that chronicles the rescue of the 12 boys and their soccer coach, who were trapped for two weeks in flooded caves in Thailand during the summer of 2018.",2022,TV-14,2 min,"Adventure, Drama, Thriller","Thailand, United States",tt8726102,7.8,"1,193",thai cave rescue
74,i used to be famous,tt15807910,movie,"Follows Vince, a desperate former popstar who dreams of making a comeback. An impromptu jam session with autistic young drummer Stevie sparks an unexpected friendship between the two misunderstood musicians.",2022,TV-14,104 min,"Comedy, Drama, Music",United Kingdom,tt15807910,6.6,"5,874",i used to be famous
75,me time,tt14309446,movie,Follows a dad who finds time for himself for the first time in years while his wife and kids are away. He reconnects with a friend for a wild weekend.,2022,R,101 min,Comedy,United States,tt14309446,5.0,"30,599",me time
76,end of the road,tt13655328,movie,"In this high-octane action thriller, a cross-country road trip becomes a highway to hell for Brenda and her family. Alone in the New Mexico desert, they have to fight for their lives when they become the targets of a mysterious ki...",2022,R,89 min,"Action, Crime, Drama",United States,tt13655328,4.7,"6,383",end of the road
77,this is the end,tt1245492,movie,"Six Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only have to face the apocalypse, but themselves.",2013,R,107 min,"Comedy, Fantasy",United States,tt1245492,6.6,"412,953",this is the end
78,dolittle,tt6673612,movie,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,2020,PG,101 min,"Adventure, Comedy, Family","United States, China, United Kingdom, Japan",tt6673612,5.6,"64,825",dolittle
79,the catholic school,tt10345782,movie,"In late September 1975, a renowned Catholic school in Rome for sheltered, upper-middle-class boys is attacked in what became known as the Circeo Massacre. The film examines what triggered the violence.",2021,TV-MA,106 min,Drama,Italy,tt10345782,5.7,"2,029",the catholic school
80,mat kilau,tt11347146,movie,The film is inspired by the epic Malaysian historical figure Mat Kilau who had fought against the British colonists in Pahang before independence.,2022,N/A,117 min,"Action, Adventure, Drama",Malaysia,tt11347146,5.7,"1,384",mat kilau
81,broad peak,tt8983230,movie,"After climbing Broad Peak mountain, Maciej Berbeka learns his journey to the summit is incomplete. 25 years later, he sets out to finish what he started.",2022,TV-MA,101 min,"Adventure, Biography, Drama",Poland,tt8983230,5.9,"1,151",broad peak
82,the imperfects,tt14502728,series,"After an experimental gene therapy turns them into monsters, three twenty-somethings band together to hunt down the scientist responsible and force him to make them human again.",2022–,TV-MA,N/A,"Action, Adventure, Drama","Canada, United States",tt14502728,6.4,"4,454",the imperfects
